MGRNU,STAT_CDE,A004_KND_C,HOL,VEL,AW_SN_QUA,AW_SN_LENX,EVE_CDE,OD_PE_CDE,GU_CDE,DONG_CDE,JIBUN,NW_PE_CDE,WORK_CDE,VIEW_CDE,ROD_GBN_CD,TFC_BSS_CD,SIXID,ESB_YMD,CAE_YMD,HISID,CTK_MGRNU,CRS_MGRNU,FRM_CDE,CSS_CDE,RN_CDE,MNG_AGEN,geometry,length_m
06-0000030251,001,003,0.0,0.0,0.0,001,001,150,230,10200,47-3도,200,001,002,002,109,,,,40393.0,2008-1107-995,06-030251,001,,,,"POLYGON ((203170.750172182 552586.401332763, 203170.750172182 552586.401332763, 203164.443268892 552577.780615923, 203161.468008568 552580.472522837, 203166.978101073 552587.986685936, 203170.750172182 552586.401332763))",1m
06-0000030261,001,003,0.0,0.0,0.0,001,001,200,230,10200,74-20대,200,001,002,002,109,,,,41525.0,2008-1107-995,06-030261,001,,,,"POLYGON ((203288.750281473 552676.7752519291, 203289.02964922102 552676.902793146, 203290.019628506 552677.540499232, 203290.52979337503 552678.014223753, 203291.251792521 552678.898124988, 203291.58898951602 552679.398511366, 203291.850062823 552680.007649408, 203292.11522081602 552672.504824406, 203292.21926890098 552668.669106467, 203292.30499779 552665.870873947, 203291.710762662 552666.613667856, 203291.213866833 552667.0798171421, 203290.342516723 552667.8224130061, 203289.59083552798 552668.231549982, 203288.154090647 552668.8405147339, 203287.976963821 552676.441966329, 203288.750281473 552676.7752519291))",1m
06-0000030282,001,002,0.0,0.0,0.0,001,001,200,230,10200,74-26대,200,001,002,002,109,,,,39649.0,2000-0000-000,06-030282,,,,,"POLYGON ((203253.637803134 552672.31517121, 203263.480509407 552669.116292909, 203263.627285781 552669.0398226411, 203262.969626624 552668.825686087, 203262.648446548 552668.6727455511, 203262.113129917 552668.36686448, 203261.684881564 552668.076257657, 203261.149589689 552667.586838041, 203255.184760262 552669.529242258, 203252.722363174 552670.186901415, 203252.655795175 552670.9393500361, 203252.422794799 552671.65775961, 203251.7893962 552672.496357967, 203251.162310296 552672.863410301, 203251.162310296 552672.863410301, 203253.637803134 552672.31517121))",1m
06-0000030283,001,002,0.0,0.0,0.0,001,001,200,230,10200,75-22대,200,001,002,002,109,,,,39650.0,2000-0000-000,06-030283,,,,,"POLYGON ((203138.713387925 552679.14446867, 203142.943414192 552679.275847016, 203143.153614595 552672.4315971311, 203138.884177299 552672.300243541, 203138.884177299 552672.300243541, 203138.713387925 552679.14446867))",1m
06-0000030285,001,002,0.0,0.0,0.0,001,001,200,230,10200,75-3대,200,001,002,002,109,,,,39653.0,2000-0000-000,06-030285,,,,,"POLYGON ((203150.836165768 552682.5886756709, 203158.15656623 552682.7984057161, 203158.51609284102 552682.269104714, 203158.93555293098 552681.739803711, 203159.654606152 552681.0906357489, 203160.123998431 552680.761088256, 203161.02280258 552680.3116738041, 203161.971563672 552679.97212502, 203162.730572547 552679.862259352, 203157.906905288 552679.622574945, 203151.894767774 552679.452800553, 203146.57767048 552679.488968588, 203147.705860676 552679.8048509511, 203148.599391867 552680.265157898, 203149.492923057 552680.924030083, 203150.21697692398 552681.769758073, 203150.7263001 552682.5687226, 203150.836165768 552682.5886756709))",1m
06-0000030286,001,002,0.0,0.0,0.0,001,001,200,230,10200,74-10대,200,001,002,002,109,,,,48248.0,2000-0000-000,06-030286,,,,,"POLYGON ((203220.561305448 552684.643792459, 203228.003528568 552684.653447171, 203228.471064171 552683.983335911, 203229.032101944 552683.3209979321, 203229.710035996 552682.73656605, 203230.910017638 552682.09762218, 203232.516512155 552681.636993409, 203216.20586695202 552681.232609523, 203217.690637834 552681.78441343, 203218.82083324 552682.4512321859, 203219.781477055 552683.355383559, 203220.256167047 552684.022202315, 203220.391778613 552684.2934254471, 203220.561305448 552684.643792459))",1m
06-0000030287,001,002,0.0,0.0,0.0,001,001,200,230,10200,74-9대,200,001,002,002,109,,,,40770.0,2000-0000-000,06-030287,,,,,"POLYGON ((203233.57991676 552681.643182327, 203233.57991676 552681.643182327, 203237.769814085 552681.75062194, 203237.85338923 552679.876518619, 203237.943871208 552674.6916908751, 203233.776600567 552674.5823450759, 203233.77090676202 552676.199905378, 203233.57991676 552681.643182327))",1m
06-0000030288,001,002,0.0,0.0,0.0,001,001,200,230,10200,74-8대,200,001,002,002,109,,,,40771.0,2000-0000-000,06-030288,,,,,"POLYGON ((203260.765530208 552681.113386211, 203268.401045607 552679.825620959, 203268.713214619 552679.084188611, 203269.194514375 552678.368774474, 203269.727825797 552677.692375274, 203270.378206786 552677.146042369, 203265.29220368102 552677.92651441, 203259.529801377 552678.9150826221, 203258.007921743 552679.3053310211, 203258.554229892 552679.513451947, 203259.42575329103 552680.007723675, 203259.920049775 552680.397972074, 203260.479379407 552680.9182620121, 203260.479379407 552680.9182620121, 203260.765530208 552681.113386211))",1m
06-0000030289,001,002,0.0,0.0,0.0,001,001,200,230,10200,75-14대,200,001,002,002,109,,,,41632.0,2000-0000-000,06-030289,,,,,"POLYGON ((203124.518510903 552671.276720321, 203135.46187906698 552671.627458669, 203136.490749511 552671.650852778, 203136.792224073 552671.676375875, 203136.310552982 552671.474617156, 203135.77679595802 552671.1166006409, 203135.392761233 552670.8106948141, 203135.047790957 552670.472210524, 203134.390379357 552669.795291455, 203134.14955618902 552669.339638573, 203129.079025379 552669.261534431, 203125.435485714 552669.1561000281, 203124.944655024 552669.7127560469, 203124.675313323 552670.041956961, 203123.748139176 552670.778141106, 203122.92152256402 552671.1792324891, 203122.99309120898 552671.214237008, 203124.518510903 552671.276720321))",1m
06-0000033771,001,002,0.0,0.0,0.0,001,001,200,230,10400,55-75구,200,001,002,002,109,,,,75640.0,2000-0000-000,06-033771,,,,,"POLYGON ((205376.754012467 553319.160184634, 205376.754012467 553319.160184634, 205380.455109066 553314.2007325189, 205375.791734778 553310.5736553761, 205371.942599265 553315.644161431, 205376.754012467 553319.160184634))",1m
