NO,ATNRG_NM,SAFETY_ADDR,CCTV_USE,LA,LO,CCTV_QTY,UPDATE_DT,PLCST_NM,PLCST_DEPT_NM,PLCST_DEPT_CD,CTPR_PLAGC_NM
48175,동대문구,경희대로4길 6 보조4 (통플),방범,37.59249738,127.0529561,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48206,동대문구,경희대로1나길 25(회기동 106-11) 메인 (221019-BP),방범,37.59260633,127.0503914,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48207,동대문구,경희대로1나길 25(회기동 106-11) 보조1,방범,37.59260633,127.0503914,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48255,동대문구,회기로23가길 33 메인 (221004-BP),방범,37.5927127,127.054217,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48256,동대문구,회기로23가길 33 보조1,방범,37.5927127,127.054217,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48257,동대문구,회기로23가길 33 보조2,방범,37.5927127,127.054217,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48263,동대문구,회기로29길 59-5 메인 (231013),방범,37.5927533,127.058763,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48264,동대문구,회기로29길 59-5 보조1,방범,37.5927533,127.058763,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48265,동대문구,회기로29길 59-5 보조2,방범,37.5927533,127.058763,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48269,동대문구,경희대로3길 27 메인 (221010),방범,37.5927637,127.05108,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48270,동대문구,경희대로3길 27 보조1,방범,37.5927637,127.05108,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48271,동대문구,경희대로3길 27 보조2,방범,37.5927637,127.05108,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48272,동대문구,경희대로6길 25 메인 (221033),방범,37.59277733,127.0537842,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48273,동대문구,경희대로6길 25 보조1,방범,37.59277733,127.0537842,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48274,동대문구,경희대로6길 25 보조2,방범,37.59277733,127.0537842,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48275,동대문구,경희대로6길 25 보조3,방범,37.59277733,127.0537842,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48288,동대문구,이문로12길 41 메인 (231009),방범,37.5927934,127.059791,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48289,동대문구,이문로12길 41 보조1,방범,37.5927934,127.059791,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48290,동대문구,이문로12길 41 보조2,방범,37.5927934,127.059791,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48300,동대문구,회기동 16-42(경희대로16) 메인,불법주정차,37.59282156,127.0526802,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48301,동대문구,회기동 16-42(경희대로16) 보조1,불법주정차,37.59282156,127.0526802,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48302,동대문구,회기동 16-42(경희대로16) 보조2 (통플),불법주정차,37.59282156,127.0526802,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48330,동대문구,젬마유치원(이문로12길 12) 보조2,어린이안전,37.59289183,127.0587832,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48331,동대문구,젬마유치원(이문로12길 12) 메인 (142021),어린이안전,37.59289183,127.0587832,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48332,동대문구,젬마유치원(이문로12길 12) 보조1,어린이안전,37.59289183,127.0587832,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48419,동대문구,경희대로1나길 49 한스빌라 메인 (221029-BP),방범,37.59322487,127.0497146,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48420,동대문구,경희대로1나길 49 한스빌라 보조1,방범,37.59322487,127.0497146,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48449,동대문구,휘경동 118-10(SK뷰 어린이공원) 메인 (233064),도심공원,37.5933153,127.0678345,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48450,동대문구,휘경동 118-10(SK뷰 어린이공원) 보조1,도심공원,37.5933153,127.0678345,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48451,동대문구,휘경동 118-10(SK뷰 어린이공원) 보조2,도심공원,37.5933153,127.0678345,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48452,동대문구,이문로9길 28 메인 (142024),어린이안전,37.5933199,127.056337,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48453,동대문구,이문로9길 28 보조1,어린이안전,37.5933199,127.056337,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48454,동대문구,이문로9길 28 보조2,어린이안전,37.5933199,127.056337,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48459,동대문구,회기로25길 84 메인 (141016-BP),방범,37.59333463,127.0575098,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48460,동대문구,회기로25길 84 보조1,방범,37.59333463,127.0575098,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48461,동대문구,회기로25길 84 보조2,방범,37.59333463,127.0575098,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48462,동대문구,회기로23가길 46 메인 (221032),방범,37.59334639,127.0542042,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48463,동대문구,회기로23가길 46 보조1,방범,37.59334639,127.0542042,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48464,동대문구,회기로23가길 46 보조2,방범,37.59334639,127.0542042,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48465,동대문구,회기로23가길 46 보조3,방범,37.59334639,127.0542042,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48466,동대문구,회기로23가길 46 보조4,방범,37.59334639,127.0542042,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48489,동대문구,경희대로1나길 56-3 메인 (221020) 다목적,방범,37.59344889,127.0506268,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48490,동대문구,경희대로1나길 56-3 보조1,방범,37.59344889,127.0506268,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48491,동대문구,경희대로1나길 56-3 보조2,방범,37.59344889,127.0506268,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48492,동대문구,경희대로1나길 56-3 보조3 (통플),방범,37.59344889,127.0506268,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48565,동대문구,휘경동 118-10(SK뷰 어린이공원) 메인 (233065),도심공원,37.59368322,127.067954,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48566,동대문구,휘경동 118-10(SK뷰 어린이공원) 보조1,도심공원,37.59368322,127.067954,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48567,동대문구,휘경동 118-10(SK뷰 어린이공원) 보조2,도심공원,37.59368322,127.067954,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48587,동대문구,이문로9길 24-10 메인 (141031),방범,37.59383301,127.0569776,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48588,동대문구,이문로9길 24-10 보조1,방범,37.59383301,127.0569776,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48589,동대문구,이문로9길 24-10 보조2,방범,37.59383301,127.0569776,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48590,동대문구,이문로9길 24-10 보조3,방범,37.59383301,127.0569776,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48615,동대문구,이문로12길3-10 메인 (141034),방범,37.5938967,127.0591389,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48616,동대문구,이문로12길3-10 보조1,방범,37.5938967,127.0591389,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48617,동대문구,이문로12길3-10 보조2,방범,37.5938967,127.0591389,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48633,동대문구,휘경1동 161-10 성문교회앞 메인 (231001),방범,37.59396733,127.0633588,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48634,동대문구,휘경1동 161-10 성문교회앞 보조1,방범,37.59396733,127.0633588,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48635,동대문구,휘경1동 161-10 성문교회앞 보조2,방범,37.59396733,127.0633588,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48701,동대문구,휘경로10길 26 메인 (141017-BP),방범,37.5941774,127.062158,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48702,동대문구,휘경로10길 26 보조1,방범,37.5941774,127.062158,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48703,동대문구,휘경로10길 26 보조2,방범,37.5941774,127.062158,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48704,동대문구,휘경1동 146-11(휘경로58-1) 메인,불법주정차,37.59417975,127.0662096,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48705,동대문구,휘경1동 146-11(휘경로58-1) 보조1,불법주정차,37.59417975,127.0662096,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48727,동대문구,이문로16가길 9-7 메인 (141039-BP),방범,37.59429202,127.06153,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48728,동대문구,이문로16가길 9-7 보조1,방범,37.59429202,127.06153,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48729,동대문구,이문로16가길 9-7 보조2,방범,37.59429202,127.06153,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
