주소,병원분류명,경도,위도
"서울특별시 동대문구 사가정로25길 50, 3층 (장안동)",한의원,127.0710609330485,37.58099180493217
"서울특별시 동대문구 휘경로 13, (더305빌딩) 8층 (이문동)",의원,127.061743635095,37.5960166838474
"서울특별시 동대문구 이문로 125, 3층 (이문동)",의원,127.06091209001,37.5978850507988
"서울특별시 동대문구 장한로 129, 3층 (장안동)",치과의원,127.070930222624,37.5719953693996
서울특별시 동대문구 약령중앙로2길 13 (제기동),한의원,127.037654159708,37.5788846303513
서울특별시 동대문구 답십리로 276 (장안동),의원,127.070783003428,37.5721698002783
서울특별시 동대문구 무학로 132 (용두동),한의원,127.0307780463058,37.575996049889845
"서울특별시 동대문구 망우로 86, 3층 (휘경동)",의원,127.062841187253,37.5900532510613
서울특별시 동대문구 약령중앙로 8 (제기동),한의원,127.0369966376,37.5788738461
"서울특별시 동대문구 장한로 3, 승원빌딩 4층 (장안동)",치과의원,127.064573772246,37.5621355469546
"서울특별시 동대문구 왕산로 214, 803호 (전농동)",치과의원,127.05114503929,37.584197400389
"서울특별시 동대문구 망우로 74, 2층 (휘경동)",치과의원,127.061365936668,37.5895997469635
"서울특별시 동대문구 왕산로 86, 2층 204~207호 (용두동, 푸르지오시티오피스텔동)",의원,127.032477193881,37.5777504650845
"서울특별시 동대문구 이문로 119, 보인빌딩 4, 5층 (이문동)",의원,127.061872724933,37.5984809170412
서울특별시 동대문구 고산자로 473 (제기동),한의원,127.03829330387288,37.58191518761755
"서울특별시 동대문구 전농로 91, 2층 (답십리동)",의원,127.05713405448697,37.57305779203031
"서울특별시 동대문구 장한로25길 2 , 상미타워 7층  (장안동)",의원,127.071122094113,37.5718765929284
"서울특별시 동대문구 약령서1길 5, 2층 (제기동)",치과의원,127.036204348087,37.578761737821
서울특별시 동대문구 이문로 74 (이문동),의원,127.058567519797,37.5937132059813
서울특별시 동대문구 왕산로 123 (제기동),한의원,127.03715943611788,37.57842690195145
"서울특별시 동대문구 이문로 69, 2층 (이문동)",치과의원,127.057975538074,37.5934101343369
"서울특별시 동대문구 약령중앙로 14-4, 1, 2층 (제기동)",한의원,127.0373319911,37.5793855051
"서울특별시 동대문구 고산자로 449, (제기동)",한의원,127.03816540841136,37.57976726003692
"서울특별시 동대문구 왕산로 190, 청량리렉스프라임 2층 (전농동)",의원,127.044447176728,37.579515216337
서울특별시 동대문구 약령중앙로 8 (제기동),한의원,127.0371008049755,37.57886299786881
"서울특별시 동대문구 왕산로 225, 미주상가 A동 3층 12호, 15호 (청량리동)",의원,127.047209103701,37.5821227010138
서울특별시 동대문구 장한로32길 7 (장안동),요양병원,127.0725816495,37.5754695921
"서울특별시 동대문구 천호대로 313, 네모313빌딩 3층 (답십리동)",의원,127.055308303617,37.5654438438652
